name;model;link;price
Wacaco Nanopresso Lava Red, Case 18 бар WCCLVRD, красный;Wacaco;https://www.ozon.ru/product/ruchnaya-kofemashina-wacaco-nanopresso-lava-red-case-18-bar-wcclvrd-160937042/?asb=YqzM81S2aTP2n7Di1Rtl%252FBz9ozSsGSVR5ZNdMdOlJJytNHiDWNrYxCne6USwsIza&asb2=4Sz-_c82kOD56bnJCQ8_gkB_eyxP4en3f_9iXvDdxWxvfm5mqo7LvJNi46dn_qblIE_ffZk6GX45hg-FJYDoIV1KMONmjoyK8jf_kVCHBWA_oEf7EsSITiIRJcVuQvnn;7350
Maunfeld MF-724S нержавеющая сталь, серебристый;Maunfeld;https://www.ozon.ru/product/avtomaticheskaya-kofemashina-maunfeld-mf-724s-nerzhaveyushchaya-stal-serebristyy-497518640/?asb=qmcjUnjaLIDO3oQig7376fgqt%252BsXxkbmwK4PZiGm4O8%253D&asb2=wJtRjO7-rEuCrydGLTEvG0g04dogU22voPfERYQdO_zyuhzRx6JJJhXL3DeFeRrR;10550
Philips Series 3200 LatteGo EP3243/70, серый, белый;Philips;https://www.ozon.ru/product/avtomaticheskaya-kofemashina-philips-series-3200-ep3243-70-s-kapuchinatorom-lattego-150389504/?asb=TepPrFCy4ahTjDFpM5%252BnKbXOpkqoc1%252BZEJaCVKgiJheoD6IOJpZvDKxqwAApwOlj&asb2=cejpLmEIA6hrgF974WxlRhHoc0Rig2W57MGXDyg5jltLJweF7kbbmNXNOen1HWq_I59CWHUTmnMZifn52YoW6NhetUOuK0TAZb_OrWsIfRI;64990
Donlim DL-KF5400, лазурный;Donlim;https://www.ozon.ru/product/avtomaticheskaya-kofemashina-donlim-dl-kf5400-lazurnyy-278269896/?asb=a0UDStC%252B37wxlSTP9OeWpRfUudTOKLDeLXtf3XO4SKo%253D&asb2=sZiCW3tayBS-W0s6th1GlctVa57B6LPwsUh_QhADr8EKZw5NagCYKSCcpMT0upIToiguVWCho9ZQfc382dJIlQ;10229
Oursson AM6250/DC, бордовый;Oursson;https://www.ozon.ru/product/avtomaticheskaya-kofemashina-oursson-am6250-dc-bordovyy-340645791/?asb=vq3J4EEpoSgJnnl%252BTwSszOSe7QngUbel0HEApnN72VxyoiAOK5xdsKhfdzUNHcL7&asb2=TXLZSNA92D6gznqyVnGRuYwZEz5JU_CZhLRp23jjkG_9yjX1XOblrYysAFnwzrQr4lCVuM5LDu8oZ1VAdfAQHfaeEANlLKUjZMc82dWAvur917UoxjRnYwsNFAtKgvVHp4R4_oKiQo0E6gUAaE470Q;42290
DeLonghi Magnifica S ECAM 22.360.S, серебристый;DeLonghi;https://www.ozon.ru/product/avtomaticheskaya-kofemashina-delonghi-magnifica-s-ecam-22-360-s-serebristyy-288578775/?asb=1mcUMmOgu5orsWQjMQpbHeP68s8sbOKkntxzLBj%252Bh98g0T7hbzNi%252F91Hgs6F99f4&asb2=CYUdmG5sILdzaFhXlS_HDsvA_sEtDV8N9eD9siLs1WpL4DFiUf7pVWKlqQ6xUigYKrXQiwrO2cv_YkkzAZBgdLcYN9KQh1HpxoROuQ0XRdQ86J1an1eiTijWDo428_Tc&ectx=1&miniapp=supermarket;49990
Melitta Caffeo F 850-101, серебристый, черный;Melitta;https://www.ozon.ru/product/kofemashina-melitta-caffeo-f-850-101-serebristyy-chernyy-149944965/?asb=sb05p66eWbMauob69ZaUKw%252Fujx6oTKOSYDRmgIkOMd%252BO82UTi30q92nhrHOF00Vo&asb2=liLXIj9ok5lxPSKrQxAvd4RzB-e2uPO6ZjTqpivw74fD-_-R9NmpcG8PeC79oVG3wPwzMV0blmyda7gHETKWAI544YvJ7Z861YZXTZPWcEk;101404
Delta Lux, черно-серый;Delta;https://www.ozon.ru/product/avtomaticheskaya-kofemashina-delta-lux-cherno-seryy-527747014/?asb=ctoueHFLYRGLdNT7eJC1f9iXCBA6tIDw97iozz1R0Zk%253D&asb2=bFvWim4YUkJTmVKALqiCmK19RIxfDRbfeUm4F1brmiso4Vmyua0aCEi73t3CzKrH;5490
kaffit.com KLM1604 Nizza Autocappuccino кофемашина, белый;kaffit.com;https://www.ozon.ru/product/avtomaticheskaya-kofemashina-kaffit-com-klm1604-nizza-autocappuccino-kofemashina-belyy-320954236/?asb=F%252BySYPrxAtm2HXWgB1xOaeIojhvGLozxpvZ8uRTqb4c%253D&asb2=r8Yi22ePoC9yvOjhafDQgmfm-1JgUVZ4DPVevWfSjJaxGQuMINoFtV-3b0KSkaY1;44990
Maunfeld MF-734BK, черный;Maunfeld;https://www.ozon.ru/product/avtomaticheskaya-kofemashina-maunfeld-mf-734bk-chernyy-275084801/?asb=o9tozeBRx%252BeHx7XkqtSa9qbdhh22wzpCK%252BsT6WAJx%252Bg%253D&asb2=E7a9BocF7zPR-_a_YIkIKx3Hr-zkOAEZEtW4xE-YMhGKtB2nuN_xWgFM8b19con-;10490
kaffit.com KLM1604 Nizza Autocappuccino кофемашина, черный;kaffit.com;https://www.ozon.ru/product/avtomaticheskaya-kofemashina-kaffit-com-klm1604-nizza-autocappuccino-kofemashina-chernyy-320882529/?asb=hqugC5jyUh6OkDZ%252FsoOfsamdbpICYG3TbjD8mlPOn6c%253D&asb2=nqiacxmO606VoW1t5mNZE_NEGFD44UaIvCJ4yIfyUDFNl2ca4jjYacmGnYYxm6In;44990
JURA E8 Piano Black (15355), черный;JURA;https://www.ozon.ru/product/avtomaticheskaya-kofemashina-jura-e8-piano-black-15355-chernyy-342206148/?asb=SiLCMhWtCnke4UOLUNey2RyHOVm%252BIBkFlWoQ5wt%252F1VE%253D&asb2=5b5VM0cHLqMaR85a27BpZuDRTlTnJG2sUlzOTYA9ujPO-NLeS1Y1_ANXi8sI4mJq;149990
Nivona NICR 970, темно-серый;Nivona;https://www.ozon.ru/product/avtomaticheskaya-kofemashina-nivona-nicr-970-temno-seryy-193327429/?asb=Acv0AMTO9AmKnbiQiqRypZEUu3tfHfhnQVdVow56RQXIFgsRjVhl9eOIEFtbdlsy&asb2=LO6eYZHONODUYaZi1r5kwcDQLpyChctrjLZadHBWpSJRgmEMY9lopBHZz74eoJFAHXTWnG6qiz9w4Ebjh1XBvnWUTXQ5HYQ3JIWd2lfSSbreRKRZ5aA_aUTl5G6t5ziXVDW3p3s8Qd39Ti4zXfhNEA;176990
DeLonghi Autentica ETAM 29.660.SB, черный, серебристый;DeLonghi;https://www.ozon.ru/product/avtomaticheskaya-kofemashina-delonghi-autentica-etam-29-660-sb-chernyy-serebristyy-515292229/?asb=236Jx3lPsb2K71tFhdWFD5BBwLArlW%252BP0epLF%252FqpTn9jYD3vQSru%252F7Ty99sEOxX1&asb2=WZ6M92XDuhvus1wBFkNwC8Gnz3eTNoPbNf0RtdJ_xPWwN5LUzHQOT2lXBBRmTk3AsRCyHd61QApc5tzCax-ZtUfHUCa7y2tlC_rQKlGhz9Y;67199
kaffit.com KLM1604 Nizza Autocappuccino кофемашина, черный;kaffit.com;https://www.ozon.ru/product/avtomaticheskaya-kofemashina-kaffit-com-klm1604-nizza-autocappuccino-kofemashina-chernyy-491668497/?asb=PqDQKcoJrrkjycgROV%252BPPxkfEsjYZ4zImqR7yUiGEAc%253D&asb2=f6TH8VIrGlR5SN3ojiLruaVojxY-RfBFe1QoErLJixmRovegHhIw6JXLpJvilYnG;52990
Melitta Melitta Caffeo CI E970, черный;Melitta;https://www.ozon.ru/product/melitta-caffeo-ci-black-kofemashina-23577020/?asb=FplAGws61xbK9w9gMwMwc1K64DJb0ditAjpmZ39aKOgtSJ4Ki9zTRYkCG13fypHi&asb2=_1B0tYlu6ngg4yuTfbrxTb1pltCqe2gfz9CDDYb9a0kWUfe9ip_F69gRU8AWXWJ2gMRfFhl3GI_lv7sCBx7bBbMSJJ8qKlh886QV4hSDOPJ0w4luz_b09T0zUA2_Xx9q;75790
